scope,ideology,phrase,ngram_n,discovery_log_odds,confirmation_log_odds,same_direction,target_confirmation_df,other_confirmation_df,target_confirmation_rate,other_confirmation_rate,odds_ratio,p_value,q_value_bh,confirmed_q05
all,authoritarian_left,dismantling of capitalist,3,6.5606012291935,6.9735382427351835,True,177,0,0.0028095238095238095,0.0,inf,2.2633764115186283e-107,5.319412072640827e-107,True
all,authoritarian_left,rights environmental,2,6.342288454401568,6.950681564791711,True,173,0,0.002746031746031746,0.0,inf,5.842675828310682e-105,1.3122461436971976e-104,True
all,authoritarian_left,personal autonomy,2,7.767237559107632,6.944885285405847,True,172,0,0.0027301587301587302,0.0,inf,2.3418688618383205e-104,5.238638377686524e-104,True
all,authoritarian_left,authoritarian left advocates,3,6.703505865188896,6.927293227863793,True,169,0,0.0026825396825396826,0.0,inf,1.507939055434309e-102,3.3330240233210723e-102,True
all,authoritarian_left,authoritarian left firmly,3,6.452626372266398,6.921360135378613,True,168,0,0.0026666666666666666,0.0,inf,6.043851989507386e-102,1.3306029874132862e-101,True
all,authoritarian_left,authoritarian left-leaning,2,6.618613000953244,6.915391821647523,True,167,0,0.002650793650793651,0.0,inf,2.4223598715399758e-101,5.312025387589632e-101,True
all,authoritarian_left,authoritarian left lens,3,6.673458546956816,6.903347835551791,True,165,0,0.002619047619047619,0.0,inf,3.89110354750168e-100,8.400560759528821e-100,True
all,authoritarian_left,authoritarian left thought,3,6.5606012291935,6.897271296496151,True,164,0,0.0026031746031746033,0.0,inf,1.5594881166347926e-99,3.3281029922052854e-99,True
all,authoritarian_left,an authoritarian left-leaning,3,6.6105278127773,6.885006899932406,True,162,0,0.0025714285714285713,0.0,inf,2.504869312549694e-98,5.2649517248686015e-98,True
all,authoritarian_left,workers rights,2,6.525883233639275,6.878818127141147,True,161,0,0.0025555555555555557,0.0,inf,1.0038730450979666e-97,2.094222045391638e-97,True
all,authoritarian_left,goal of dismantling,3,6.696077790889947,6.853674790539747,True,157,0,0.002492063492063492,0.0,inf,2.5894159058155088e-95,5.3221574152739425e-95,True
all,authoritarian_left,of the revolution,3,6.383827634655226,6.8472894298362155,True,156,0,0.002476190476190476,0.0,inf,1.0376947033725234e-94,2.1018034537399838e-94,True
all,authoritarian_left,the proletariat and,3,6.342288454401568,6.8472894298362155,True,156,0,0.002476190476190476,0.0,inf,1.0376947033725234e-94,2.1018034537399838e-94,True
